Year;Month;Male;Female;Total;;;;;;;;;;;;;
2020;January;32664;31049;63713;;;;;;;;;;;;;
2020;February;30188;28512;58700;;;;Total births between 2020-2023 each month;;;;;;;;;
2020;March;31646;30584;62230;;;;;;;;;;;;;
2020;April;31404;29835;61239;;;;Month;Male;Female;Total;;;;;;
2020;May;33457;31247;64704;;;;January;125048;118499;243547;;;;;;
2020;June;33916;32194;66110;;;;February;116028;109994;226022;;;;;;
2020;July;36626;34436;71062;;;;March;125550;119396;244946;;;;;;
2020;August;35892;33800;69692;;;;April;121312;115028;236340;;;;;;
2020;September;35924;33533;69457;;;;May;130539;123252;253791;;;;;;
2020;October;33855;32164;66019;;;;June;131656;124861;256517;;;;;;
2020;November;30461;29041;59502;;;;July;141283;133622;274905;;;;;;
2020;December;31352;29364;60716;;;;August;139442;132213;271655;;;;;;
2021;January;32883;31442;64325;;;;September;137182;129800;266982;;;;;;
2021;February;31076;29519;60595;;;;October;131667;125152;256819;;;;;;
2021;March;34538;32522;67060;;;;November;120904;115076;235980;;;;;;
2021;April;32571;31030;63601;;;;December;119658;113282;232940;;;;;;
2021;May;33551;31197;64748;;;;;;;;;;;;;
2021;June;33878;32107;65985;;;;;;;;;;;;;
2021;July;37240;35027;72267;;;;;;;;;;;;;
2021;August;37184;35358;72542;;;;;;;;;;;;;
2021;September;36519;34843;71362;;;;;;;;;;;;;
2021;October;35332;33490;68822;;;;;;;;;;;;;
2021;November;32271;30624;62895;;;;;;;;;;;;;
2021;December;31431;29859;61290;;;;;;;;;;;;;
2022;January;30022;28387;58409;;;;;;;;;;;;;
2022;February;27519;26198;53717;;;;;;;;;;;;;
2022;March;29753;28378;58131;;;;;;;;;;;;;
2022;April;29589;27855;57444;;;;;;;;;;;;;
2022;May;33248;31830;65078;;;;;;;;;;;;;
2022;June;33111;31553;64664;;;;;;;;;;;;;
2022;July;35139;33244;68383;;;;;;;;;;;;;
2022;August;34909;33037;67946;;;;;;;;;;;;;
2022;September;34419;32511;66930;;;;;;;;;;;;;
2022;October;32617;30757;63374;;;;;;;;;;;;;
2022;November;29524;28302;57826;;;;;;;;;;;;;
2022;December;29261;27656;56917;;;;;;;;;;;;;
2023;January;29479;27621;57100;;;;;;;;;;;;;
2023;February;27245;25765;53010;;;;;;;;;;;;;
2023;March;29613;27912;57525;;;;;;;;;;;;;
2023;April;27748;26308;54056;;;;;;;;;;;;;
2023;May;30283;28978;59261;;;;;;;;;;;;;
2023;June;30751;29007;59758;;;;;;;;;;;;;
2023;July;32278;30915;63193;;;;;;;;;;;;;
2023;August;31457;30018;61475;;;;;;;;;;;;;
2023;September;30320;28913;59233;;;;;;;;;;;;;
2023;October;29863;28741;58604;;;;;;;;;;;;;
2023;November;28648;27109;55757;;;;;;;;;;;;;
2023;December;27614;26403;54017;;;;;;;;;;;;;
