Year;Average_Age
2000;28.742129696793853
2001;28.814919175441197
2002;28.97539883703593
2003;29.127051626380194
2004;29.311858903401966
2005;29.45197402791254
2006;29.61316006910539
2007;29.82636303919423
2008;30.013011557752428
2009;30.179315421420693
2010;30.327112195822277
2011;30.473914918079917
2012;30.575626067159934
2013;30.712755461592668
2014;30.832350349128873
2015;30.879741780913083
2016;30.861343217943087
2017;31.0016570008285
2018;31.128690095846647
2019;31.222279927291616
2020;31.298703000131006
2021;31.454545454545457
2022;31.345886880626754
2023;31.31873569160328
